Year DOY   SOD           (X)           (Y)           (Z)       (DT)    (TH)    (TW)    (TT)   (SDR)   (SDE)   (SDC)
2017 191  1740   4208829.994   2334850.621   4171267.317      6.680   2.282   0.176   2.459   1.045  12.487  32.173
2017 191  1770   4208829.998   2334850.617   4171267.320      6.984   2.282   0.177   2.459   1.037  12.481  32.177
2017 191  1800   4208829.999   2334850.615   4171267.321      7.240   2.282   0.177   2.460   1.029  12.479  32.191
2017 191  1830   4208829.998   2334850.614   4171267.323      7.368   2.282   0.178   2.460   1.025  12.477  32.208
2017 191  1860   4208830.000   2334850.612   4171267.325      7.254   2.282   0.178   2.461   1.025  12.476  32.224
2017 191  1890   4208830.001   2334850.608   4171267.327      7.086   2.282   0.179   2.461   1.028  12.472  32.233
2017 191  1920   4208830.003   2334850.604   4171267.328      7.223   2.282   0.179   2.461   1.031  12.465  32.236
2017 191  1950   4208830.004   2334850.601   4171267.330      7.024   2.282   0.179   2.461   1.034  12.459  32.238
2017 191  1980   4208830.008   2334850.597   4171267.331      6.947   2.282   0.179   2.461   1.032  12.450  32.238
2017 191  2010   4208830.013   2334850.593   4171267.333      7.131   2.282   0.178   2.460   1.029  12.440  32.240
2017 191  2040   4208830.017   2334850.590   4171267.334      7.168   2.282   0.178   2.460   1.020  12.430  32.239
2017 191  2070   4208830.020   2334850.587   4171267.335      6.975   2.282   0.177   2.460   1.013  12.423  32.236
2017 191  2100   4208830.023   2334850.581   4171267.336      7.110   2.282   0.177   2.459   1.002  12.417  32.237
2017 191  2130   4208830.028   2334850.577   4171267.338      6.938   2.282   0.176   2.459   0.989  12.411  32.242
2017 191  2160   4208830.032   2334850.574   4171267.340      7.135   2.282   0.176   2.458   0.977  12.405  32.253
2017 191  2190   4208830.037   2334850.571   4171267.341      7.394   2.282   0.175   2.457   0.970  12.400  32.265
2017 191  2220   4208830.042   2334850.568   4171267.343      7.381   2.282   0.174   2.456   0.966  12.394  32.275
2017 191  2250   4208830.046   2334850.565   4171267.345      7.326   2.282   0.174   2.456   0.964  12.389  32.276
2017 191  2280   4208830.051   2334850.563   4171267.347      7.286   2.282   0.173   2.455   0.960  12.384  32.270
2017 191  2310   4208830.055   2334850.561   4171267.349      7.669   2.282   0.172   2.454   0.955  12.382  32.264
2017 191  2340   4208830.058   2334850.559   4171267.351      7.372   2.282   0.171   2.453   0.951  12.380  32.259
2017 191  2370   4208830.063   2334850.557   4171267.354      7.073   2.282   0.170   2.452   0.948  12.378  32.254
2017 191  2400   4208830.067   2334850.556   4171267.356      6.099   2.282   0.169   2.452   0.948  12.373  32.246
2017 191  2430   4208830.071   2334850.555   4171267.359      6.635   2.282   0.169   2.451   0.946  12.367  32.237
2017 191  2460   4208830.075   2334850.555   4171267.361      6.598   2.282   0.168   2.451   0.942  12.362  32.230
2017 191  2490   4208830.078   2334850.554   4171267.363      6.401   2.282   0.168   2.450   0.939  12.360  32.229
2017 191  2520   4208830.080   2334850.552   4171267.364      6.518   2.282   0.168   2.450   0.936  12.359  32.229
2017 191  2550   4208830.083   2334850.550   4171267.365      6.152   2.282   0.168   2.450   0.935  12.358  32.228
2017 191  2580   4208830.086   2334850.549   4171267.366      6.185   2.282   0.167   2.450   0.933  12.356  32.226
2017 191  2610   4208830.088   2334850.546   4171267.366      7.384   2.282   0.168   2.450   0.932  12.356  32.229
2017 191  2640   4208830.091   2334850.543   4171267.367      7.300   2.282   0.168   2.450   0.931  12.356  32.232
2017 191  2670   4208830.093   2334850.541   4171267.367      7.073   2.282   0.168   2.451   0.929  12.353  32.235
2017 191  2700   4208830.095   2334850.538   4171267.367      7.217   2.282   0.169   2.451   0.929  12.349  32.236
2017 191  2730   4208830.096   2334850.535   4171267.366      7.070   2.282   0.169   2.452   0.928  12.346  32.233
2017 191  2760   4208830.096   2334850.533   4171267.365      7.014   2.282   0.170   2.452   0.928  12.344  32.228
2017 191  2790   4208830.099   2334850.530   4171267.365      6.991   2.282   0.170   2.452   0.927  12.342  32.222
2017 191  2820   4208830.100   2334850.528   4171267.365      6.650   2.282   0.170   2.453   0.926  12.340  32.216
2017 191  2850   4208830.102   2334850.526   4171267.366      7.084   2.282   0.170   2.453   0.926  12.340  32.212
2017 191  2880   4208830.105   2334850.524   4171267.367      7.370   2.282   0.170   2.453   0.928  12.341  32.207
2017 191  2910   4208830.107   2334850.522   4171267.368      7.319   2.282   0.170   2.453   0.930  12.345  32.203
2017 191  2940   4208830.110   2334850.521   4171267.369      7.350   2.282   0.170   2.453   0.930  12.352  32.202
2017 191  2970   4208830.112   2334850.520   4171267.370      7.107   2.282   0.170   2.453   0.930  12.361  32.200
2017 191  3000   4208830.115   2334850.519   4171267.371      7.294   2.282   0.170   2.453   0.932  12.369  32.197
2017 191  3030   4208830.116   2334850.518   4171267.372      7.509   2.282   0.170   2.453   0.936  12.377  32.198
2017 191  3060   4208830.118   2334850.517   4171267.373      7.306   2.282   0.170   2.452   0.940  12.380  32.197
2017 191  3090   4208830.119   2334850.517   4171267.374      7.505   2.282   0.170   2.452   0.941  12.380  32.193
2017 191  3120   4208830.120   2334850.517   4171267.375      7.380   2.282   0.170   2.452   0.940  12.378  32.191
2017 191  3150   4208830.121   2334850.516   4171267.376      7.596   2.282   0.170   2.452   0.938  12.375  32.193
2017 191  3180   4208830.122   2334850.515   4171267.376      7.391   2.282   0.170   2.452   0.935  12.370  32.193
2017 191  3210   4208830.122   2334850.515   4171267.377      7.021   2.282   0.170   2.452   0.930  12.365  32.189
2017 191  3240   4208830.123   2334850.514   4171267.377      6.981   2.282   0.169   2.452   0.924  12.361  32.185
2017 191  3270   4208830.123   2334850.514   4171267.378      7.110   2.282   0.169   2.452   0.919  12.359  32.182
2017 191  3300   4208830.124   2334850.512   4171267.378      7.082   2.282   0.169   2.452   0.916  12.357  32.177
2017 191  3330   4208830.125   2334850.511   4171267.379      6.910   2.282   0.169   2.452   0.917  12.354  32.173
2017 191  3360   4208830.126   2334850.511   4171267.379      6.967   2.282   0.169   2.452   0.918  12.354  32.172
2017 191  3390   4208830.125   2334850.510   4171267.379      6.997   2.282   0.169   2.452   0.917  12.353  32.173
2017 191  3420   4208830.125   2334850.509   4171267.380      6.904   2.282   0.169   2.452   0.919  12.354  32.174
2017 191  3450   4208830.126   2334850.508   4171267.380      6.758   2.282   0.169   2.452   0.922  12.352  32.175
2017 191  3480   4208830.127   2334850.507   4171267.380      6.564   2.282   0.169   2.452   0.925  12.350  32.177
2017 191  3510   4208830.128   2334850.506   4171267.380      6.489   2.282   0.169   2.452   0.925  12.349  32.177
2017 191  3540   4208830.129   2334850.504   4171267.380      6.575   2.282   0.170   2.452   0.922  12.350  32.178
2017 191  3570   4208830.131   2334850.503   4171267.380      6.589   2.282   0.169   2.452   0.916  12.351  32.177
2017 191  3600   4208830.131   2334850.501   4171267.379      7.079   2.282   0.170   2.452   0.912  12.351  32.177
2017 191  3630   4208830.132   2334850.500   4171267.379      6.970   2.282   0.170   2.452   0.911  12.351  32.179
2017 191  3660   4208830.133   2334850.498   4171267.378      7.701   2.282   0.170   2.453   0.914  12.351  32.180
2017 191  3690   4208830.134   2334850.497   4171267.378      6.937   2.282   0.171   2.453   0.918  12.348  32.180
2017 191  3720   4208830.135   2334850.495   4171267.378      7.027   2.282   0.171   2.453   0.920  12.344  32.179
2017 191  3750   4208830.135   2334850.494   4171267.378      6.941   2.282   0.171   2.454   0.916  12.339  32.174
2017 191  3780   4208830.135   2334850.493   4171267.377      6.803   2.282   0.171   2.454   0.908  12.334  32.167
2017 191  3810   4208830.135   2334850.492   4171267.377      6.714   2.282   0.172   2.454   0.902  12.329  32.159
2017 191  3840   4208830.136   2334850.491   4171267.377      6.432   2.282   0.172   2.455   0.898  12.327  32.153
2017 191  3870   4208830.136   2334850.491   4171267.377      6.464   2.282   0.172   2.455   0.895  12.326  32.148
2017 191  3900   4208830.137   2334850.490   4171267.377      6.731   2.282   0.172   2.455   0.892  12.327  32.146
2017 191  3930   4208830.137   2334850.490   4171267.378      6.748   2.282   0.172   2.455   0.887  12.329  32.146
2017 191  3960   4208830.137   2334850.491   4171267.378      6.820   2.282   0.172   2.454   0.888  12.332  32.145
2017 191  3990   4208830.136   2334850.491   4171267.378      6.947   2.282   0.172   2.454   0.891  12.337  32.149
2017 191  4020   4208830.135   2334850.492   4171267.379      7.204   2.282   0.171   2.454   0.892  12.343  32.156
2017 191  4050   4208830.134   2334850.494   4171267.379      7.019   2.282   0.171   2.453   0.893  12.349  32.163
2017 191  4080   4208830.133   2334850.494   4171267.379      7.343   2.282   0.171   2.453   0.895  12.351  32.168
2017 191  4110   4208830.133   2334850.494   4171267.379      7.294   2.282   0.170   2.453   0.898  12.352  32.169
