Year DOY   SOD           (X)           (Y)           (Z)       (DT)    (TH)    (TW)    (TT)   (SDR)   (SDE)   (SDC)
2017 191 23910   4208830.076   2334850.524   4171267.362      7.897   2.282   0.101   2.384   0.429  12.209  32.546
2017 191 23940   4208830.076   2334850.524   4171267.362      8.153   2.282   0.101   2.384   0.430  12.209  32.547
2017 191 23970   4208830.076   2334850.524   4171267.362      8.065   2.282   0.102   2.384   0.431  12.208  32.548
2017 191 24000   4208830.076   2334850.524   4171267.362      7.912   2.282   0.102   2.384   0.432  12.208  32.549
2017 191 24030   4208830.075   2334850.524   4171267.361      7.975   2.282   0.102   2.384   0.432  12.208  32.551
2017 191 24060   4208830.075   2334850.524   4171267.361      7.900   2.282   0.102   2.385   0.432  12.208  32.552
2017 191 24090   4208830.075   2334850.524   4171267.361      8.037   2.282   0.103   2.385   0.432  12.208  32.573
2017 191 24120   4208830.075   2334850.524   4171267.361      8.001   2.282   0.103   2.385   0.432  12.209  32.574
2017 191 24150   4208830.075   2334850.524   4171267.361      7.863   2.282   0.103   2.385   0.434  12.210  32.595
2017 191 24180   4208830.075   2334850.524   4171267.361      7.683   2.282   0.103   2.386   0.434  12.212  32.595
2017 191 24210   4208830.075   2334850.524   4171267.361      7.755   2.282   0.103   2.386   0.434  12.213  32.596
2017 191 24240   4208830.075   2334850.524   4171267.361      7.423   2.282   0.103   2.385   0.435  12.214  32.599
2017 191 24270   4208830.075   2334850.524   4171267.361      7.696   2.282   0.103   2.385   0.436  12.214  32.601
2017 191 24300   4208830.075   2334850.524   4171267.360      7.752   2.282   0.103   2.385   0.436  12.214  32.601
2017 191 24330   4208830.075   2334850.524   4171267.360      7.474   2.282   0.103   2.385   0.436  12.214  32.610
2017 191 24360   4208830.074   2334850.524   4171267.360      7.503   2.282   0.103   2.385   0.435  12.214  32.635
2017 191 24390   4208830.074   2334850.524   4171267.360      7.328   2.282   0.103   2.385   0.434  12.214  32.635
2017 191 24420   4208830.074   2334850.524   4171267.360      7.679   2.282   0.102   2.385   0.433  12.215  32.658
2017 191 24450   4208830.074   2334850.524   4171267.360      7.862   2.282   0.102   2.385   0.433  12.216  32.662
2017 191 24480   4208830.074   2334850.524   4171267.360      7.975   2.282   0.102   2.385   0.433  12.216  32.682
2017 191 24510   4208830.074   2334850.524   4171267.360      8.133   2.282   0.102   2.384   0.434  12.216  32.682
2017 191 24540   4208830.074   2334850.524   4171267.360      7.993   2.282   0.102   2.384   0.435  12.216  32.704
2017 191 24570   4208830.074   2334850.524   4171267.360      8.019   2.282   0.102   2.385   0.435  12.215  32.703
2017 191 24600   4208830.074   2334850.524   4171267.360      8.174   2.282   0.102   2.385   0.436  12.214  32.704
2017 191 24630   4208830.074   2334850.524   4171267.360      7.733   2.282   0.102   2.385   0.436  12.215  32.729
2017 191 24660   4208830.074   2334850.524   4171267.360      7.705   2.282   0.102   2.385   0.436  12.217  32.735
2017 191 24690   4208830.074   2334850.524   4171267.360      7.631   2.282   0.102   2.385   0.434  12.217  32.736
2017 191 24720   4208830.074   2334850.524   4171267.360      8.341   2.282   0.103   2.385   0.433  12.217  32.739
2017 191 24750   4208830.074   2334850.524   4171267.360      8.555   2.282   0.103   2.385   0.432  12.217  32.739
2017 191 24780   4208830.073   2334850.524   4171267.360      8.262   2.282   0.103   2.385   0.431  12.217  32.761
2017 191 24810   4208830.073   2334850.524   4171267.360      8.448   2.282   0.103   2.385   0.430  12.217  32.761
2017 191 24840   4208830.073   2334850.524   4171267.360      8.633   2.282   0.103   2.385   0.430  12.216  32.759
2017 191 24870   4208830.073   2334850.524   4171267.360      8.473   2.282   0.103   2.386   0.430  12.215  32.784
2017 191 24900   4208830.073   2334850.524   4171267.360      8.609   2.282   0.103   2.386   0.430  12.215  32.783
2017 191 24930   4208830.073   2334850.524   4171267.359      8.202   2.282   0.104   2.386   0.429  12.214  32.782
2017 191 24960   4208830.073   2334850.524   4171267.359      8.306   2.282   0.104   2.386   0.429  12.214  32.780
2017 191 24990   4208830.073   2334850.523   4171267.359      8.432   2.282   0.104   2.386   0.429  12.215  32.804
2017 191 25020   4208830.073   2334850.523   4171267.359      8.421   2.282   0.104   2.387   0.430  12.215  32.805
2017 191 25050   4208830.073   2334850.523   4171267.359      8.678   2.282   0.105   2.387   0.431  12.215  32.803
2017 191 25080   4208830.073   2334850.523   4171267.359      8.872   2.282   0.105   2.387   0.431  12.215  32.801
2017 191 25110   4208830.073   2334850.523   4171267.359      9.109   2.282   0.105   2.387   0.430  12.215  32.799
2017 191 25140   4208830.073   2334850.523   4171267.359      8.544   2.282   0.105   2.388   0.429  12.215  32.798
2017 191 25170   4208830.073   2334850.523   4171267.359      8.338   2.282   0.106   2.388   0.429  12.215  32.797
2017 191 25200   4208830.073   2334850.523   4171267.359      8.177   2.282   0.106   2.389   0.429  12.215  32.797
2017 191 25230   4208830.073   2334850.523   4171267.359      8.249   2.282   0.106   2.389   0.429  12.215  32.805
2017 191 25260   4208830.073   2334850.523   4171267.359      8.482   2.282   0.107   2.389   0.428  12.213  32.805
2017 191 25290   4208830.073   2334850.523   4171267.359      8.543   2.282   0.107   2.390   0.428  12.212  32.805
2017 191 25320   4208830.073   2334850.523   4171267.359      8.790   2.282   0.108   2.390   0.428  12.212  32.805
2017 191 25350   4208830.073   2334850.523   4171267.359      8.540   2.282   0.108   2.391   0.428  12.212  32.804
2017 191 25380   4208830.073   2334850.523   4171267.359      8.701   2.282   0.109   2.391   0.428  12.212  32.803
2017 191 25410   4208830.073   2334850.523   4171267.359      8.498   2.282   0.109   2.391   0.427  12.212  32.803
2017 191 25440   4208830.073   2334850.523   4171267.359      8.814   2.282   0.109   2.392   0.426  12.212  32.804
2017 191 25470   4208830.073   2334850.523   4171267.359      8.654   2.282   0.110   2.392   0.425  12.211  32.808
2017 191 25500   4208830.073   2334850.523   4171267.358      8.647   2.282   0.110   2.393   0.423  12.212  32.834
2017 191 25530   4208830.073   2334850.523   4171267.358      8.440   2.282   0.110   2.393   0.422  12.211  32.835
2017 191 25560   4208830.073   2334850.523   4171267.358      8.760   2.282   0.111   2.393   0.422  12.211  32.836
2017 191 25590   4208830.073   2334850.523   4171267.358      8.680   2.282   0.111   2.393   0.423  12.211  32.837
2017 191 25620   4208830.073   2334850.523   4171267.358      8.839   2.282   0.111   2.394   0.423  12.210  32.836
2017 191 25650   4208830.073   2334850.522   4171267.358      8.618   2.282   0.111   2.394   0.423  12.209  32.835
2017 191 25680   4208830.073   2334850.522   4171267.358      8.450   2.282   0.111   2.394   0.423  12.208  32.835
2017 191 25710   4208830.073   2334850.522   4171267.358      8.724   2.282   0.112   2.394   0.423  12.208  32.833
2017 191 25740   4208830.072   2334850.522   4171267.358      8.686   2.282   0.112   2.394   0.423  12.208  32.831
2017 191 25770   4208830.072   2334850.522   4171267.358      8.854   2.282   0.111   2.394   0.422  12.207  32.830
2017 191 25800   4208830.072   2334850.522   4171267.358      8.670   2.282   0.111   2.394   0.422  12.206  32.851
2017 191 25830   4208830.072   2334850.522   4171267.358      8.644   2.282   0.111   2.394   0.421  12.205  32.849
2017 191 25860   4208830.072   2334850.522   4171267.358      8.606   2.282   0.111   2.394   0.421  12.205  32.872
2017 191 25890   4208830.072   2334850.522   4171267.358      8.705   2.282   0.112   2.394   0.420  12.205  32.872
2017 191 25920   4208830.072   2334850.522   4171267.358      8.712   2.282   0.112   2.394   0.421  12.205  32.877
2017 191 25950   4208830.072   2334850.522   4171267.358      8.876   2.282   0.112   2.394   0.422  12.205  32.877
2017 191 25980   4208830.072   2334850.522   4171267.358      9.116   2.282   0.112   2.395   0.422  12.205  32.876
2017 191 26010   4208830.072   2334850.522   4171267.358      9.167   2.282   0.113   2.395   0.423  12.205  32.875
2017 191 26040   4208830.072   2334850.522   4171267.358      9.174   2.282   0.113   2.396   0.424  12.204  32.874
2017 191 26070   4208830.072   2334850.522   4171267.358      8.949   2.282   0.113   2.396   0.424  12.203  32.872
2017 191 26100   4208830.072   2334850.522   4171267.358      8.804   2.282   0.114   2.396   0.424  12.203  32.894
2017 191 26130   4208830.072   2334850.522   4171267.358      8.690   2.282   0.114   2.396   0.424  12.203  32.893
2017 191 26160   4208830.072   2334850.522   4171267.358      8.600   2.282   0.114   2.396   0.423  12.203  32.891
2017 191 26190   4208830.072   2334850.522   4171267.358      8.201   2.282   0.114   2.397   0.422  12.203  32.891
2017 191 26220   4208830.072   2334850.522   4171267.358      8.470   2.282   0.114   2.397   0.423  12.203  32.890
2017 191 26250   4208830.072   2334850.522   4171267.358      8.599   2.282   0.115   2.397   0.424  12.203  32.890
2017 191 26280   4208830.072   2334850.522   4171267.358      9.248   2.282   0.115   2.398   0.423  12.203  32.889
2017 191 26310   4208830.072   2334850.522   4171267.358      9.079   2.282   0.116   2.398   0.424  12.203  32.888
2017 191 26340   4208830.072   2334850.522   4171267.358      9.079   2.282   0.116   2.399   0.425  12.203  32.886
2017 191 26370   4208830.072   2334850.521   4171267.357      8.390   2.282   0.117   2.399   0.426  12.203  32.910
2017 191 26400   4208830.072   2334850.521   4171267.357      8.771   2.282   0.117   2.399   0.428  12.203  32.909
2017 191 26430   4208830.072   2334850.521   4171267.357      8.558   2.282   0.117   2.400   0.430  12.202  32.907
2017 191 26460   4208830.072   2334850.521   4171267.357      8.741   2.282   0.118   2.400   0.430  12.203  32.932
2017 191 26490   4208830.072   2334850.521   4171267.357      8.983   2.282   0.118   2.400   0.431  12.203  32.928
2017 191 26520   4208830.072   2334850.521   4171267.357      9.424   2.282   0.118   2.401   0.432  12.202  32.926
2017 191 26550   4208830.072   2334850.521   4171267.357      9.047   2.282   0.119   2.401   0.432  12.202  32.923
2017 191 26580   4208830.071   2334850.521   4171267.357      9.058   2.282   0.119   2.401   0.432  12.201  32.919
2017 191 26610   4208830.071   2334850.521   4171267.357      9.080   2.282   0.119   2.402   0.431  12.201  32.918
2017 191 26640   4208830.071   2334850.521   4171267.357      9.037   2.282   0.119   2.402   0.431  12.200  32.942
2017 191 26670   4208830.071   2334850.521   4171267.357      8.759   2.282   0.120   2.402   0.430  12.200  32.940
2017 191 26700   4208830.071   2334850.521   4171267.357      8.935   2.282   0.120   2.402   0.430  12.199  32.963
2017 191 26730   4208830.071   2334850.521   4171267.357      9.117   2.282   0.120   2.402   0.429  12.199  32.962
2017 191 26760   4208830.071   2334850.521   4171267.357      9.266   2.282   0.120   2.402   0.428  12.199  32.958
2017 191 26790   4208830.071   2334850.521   4171267.357      8.975   2.282   0.120   2.402   0.428  12.199  32.956
2017 191 26820   4208830.071   2334850.521   4171267.356      9.456   2.282   0.120   2.402   0.428  12.200  32.954
2017 191 26850   4208830.071   2334850.521   4171267.356      9.375   2.282   0.120   2.403   0.429  12.201  32.951
2017 191 26880   4208830.071   2334850.521   4171267.356      8.975   2.282   0.120   2.403   0.430  12.200  32.949
2017 191 26910   4208830.071   2334850.521   4171267.356      9.212   2.282   0.120   2.403   0.430  12.200  32.946
2017 191 26940   4208830.071   2334850.521   4171267.356      8.972   2.282   0.120   2.403   0.431  12.200  32.979
2017 191 26970   4208830.071   2334850.521   4171267.356      8.926   2.282   0.120   2.403   0.431  12.199  32.977
2017 191 27000   4208830.071   2334850.521   4171267.356      8.911   2.282   0.121   2.403   0.431  12.199  33.010
2017 191 27030   4208830.071   2334850.521   4171267.356      8.608   2.282   0.121   2.403   0.431  12.198  33.008
2017 191 27060   4208830.071   2334850.521   4171267.356      9.016   2.282   0.121   2.403   0.432  12.197  33.014
2017 191 27090   4208830.071   2334850.521   4171267.356      8.819   2.282   0.121   2.403   0.433  12.197  33.014
2017 191 27120   4208830.071   2334850.521   4171267.356      8.905   2.282   0.121   2.403   0.434  12.196  33.014
2017 191 27150   4208830.071   2334850.521   4171267.356      8.810   2.282   0.121   2.404   0.435  12.196  33.014
2017 191 27180   4208830.071   2334850.521   4171267.356      9.014   2.282   0.121   2.404   0.436  12.196  33.012
2017 191 27210   4208830.071   2334850.520   4171267.356      8.593   2.282   0.121   2.404   0.437  12.196  33.037
2017 191 27240   4208830.071   2334850.520   4171267.356      8.783   2.282   0.121   2.404   0.437  12.196  33.035
2017 191 27270   4208830.071   2334850.520   4171267.356      8.557   2.282   0.121   2.404   0.437  12.197  33.033
2017 191 27300   4208830.071   2334850.520   4171267.356      8.271   2.282   0.121   2.404   0.437  12.196  33.056
2017 191 27330   4208830.071   2334850.520   4171267.356      8.308   2.282   0.121   2.404   0.437  12.196  33.054
2017 191 27360   4208830.071   2334850.520   4171267.356      8.066   2.282   0.121   2.404   0.436  12.195  33.052
2017 191 27390   4208830.071   2334850.520   4171267.356      8.115   2.282   0.121   2.404   0.434  12.194  33.048
2017 191 27420   4208830.071   2334850.520   4171267.356      8.147   2.282   0.121   2.404   0.434  12.193  33.046
2017 191 27450   4208830.071   2334850.520   4171267.356      8.087   2.282   0.121   2.404   0.431  12.192  33.069
2017 191 27480   4208830.071   2334850.520   4171267.356      8.265   2.282   0.121   2.404   0.430  12.191  33.066
2017 191 27510   4208830.071   2334850.520   4171267.356      8.376   2.282   0.122   2.404   0.429  12.191  33.064
2017 191 27540   4208830.071   2334850.520   4171267.356      8.574   2.282   0.122   2.404   0.428  12.190  33.063
2017 191 27570   4208830.071   2334850.520   4171267.355      8.735   2.282   0.122   2.404   0.429  12.190  33.061
2017 191 27600   4208830.070   2334850.520   4171267.355      8.996   2.282   0.122   2.405   0.427  12.191  33.061
2017 191 27630   4208830.070   2334850.520   4171267.355      8.757   2.282   0.123   2.405   0.426  12.193  33.066
2017 191 27660   4208830.070   2334850.519   4171267.355      8.870   2.282   0.123   2.405   0.425  12.194  33.065
2017 191 27690   4208830.070   2334850.519   4171267.355      9.164   2.282   0.123   2.406   0.424  12.196  33.063
2017 191 27720   4208830.070   2334850.519   4171267.355      8.426   2.282   0.123   2.406   0.422  12.198  33.065
2017 191 27750   4208830.070   2334850.519   4171267.355      8.638   2.282   0.124   2.406   0.420  12.199  33.062
2017 191 27780   4208830.070   2334850.519   4171267.355      8.380   2.282   0.124   2.406   0.418  12.200  33.060
2017 191 27810   4208830.070   2334850.519   4171267.355      8.402   2.282   0.124   2.406   0.416  12.200  33.057
2017 191 27840   4208830.070   2334850.519   4171267.355      8.661   2.282   0.124   2.407   0.414  12.201  33.055
2017 191 27870   4208830.070   2334850.519   4171267.355      8.522   2.282   0.124   2.407   0.413  12.201  33.054
2017 191 27900   4208830.070   2334850.519   4171267.355      8.477   2.282   0.124   2.407   0.412  12.201  33.052
2017 191 27930   4208830.070   2334850.518   4171267.355      8.410   2.282   0.124   2.407   0.411  12.201  33.051
2017 191 27960   4208830.070   2334850.518   4171267.355      8.743   2.282   0.124   2.406   0.410  12.202  33.050
2017 191 27990   4208830.070   2334850.518   4171267.355      8.498   2.282   0.124   2.406   0.410  12.202  33.048
2017 191 28020   4208830.070   2334850.518   4171267.355      8.489   2.282   0.124   2.406   0.409  12.201  33.047
2017 191 28050   4208830.070   2334850.518   4171267.355      8.453   2.282   0.124   2.406   0.408  12.200  33.046
2017 191 28080   4208830.070   2334850.518   4171267.354      8.893   2.282   0.124   2.406   0.407  12.199  33.044
2017 191 28110   4208830.070   2334850.518   4171267.354      9.248   2.282   0.124   2.406   0.405  12.198  33.044
2017 191 28140   4208830.070   2334850.518   4171267.354      8.541   2.282   0.124   2.406   0.405  12.198  33.042
2017 191 28170   4208830.070   2334850.518   4171267.354      8.880   2.282   0.124   2.406   0.404  12.198  33.041
2017 191 28200   4208830.070   2334850.518   4171267.354      8.973   2.282   0.124   2.406   0.403  12.197  33.040
2017 191 28230   4208830.070   2334850.518   4171267.354      9.197   2.282   0.124   2.406   0.404  12.197  33.039
2017 191 28260   4208830.070   2334850.517   4171267.354      8.807   2.282   0.124   2.406   0.405  12.197  33.039
2017 191 28290   4208830.070   2334850.517   4171267.354      9.258   2.282   0.124   2.407   0.406  12.197  33.039
2017 191 28320   4208830.070   2334850.517   4171267.354      8.736   2.282   0.124   2.407   0.408  12.197  33.038
2017 191 28350   4208830.069   2334850.517   4171267.354      8.735   2.282   0.124   2.407   0.409  12.197  33.044
2017 191 28380   4208830.069   2334850.517   4171267.354      8.468   2.282   0.124   2.407   0.408  12.197  33.043
2017 191 28410   4208830.069   2334850.517   4171267.354      8.616   2.282   0.125   2.407   0.407  12.197  33.041
2017 191 28440   4208830.069   2334850.517   4171267.354      8.737   2.282   0.125   2.407   0.406  12.196  33.039
2017 191 28470   4208830.069   2334850.516   4171267.354      8.390   2.282   0.125   2.407   0.405  12.196  33.037
2017 191 28500   4208830.069   2334850.516   4171267.354      8.715   2.282   0.125   2.407   0.404  12.196  33.034
2017 191 28530   4208830.069   2334850.516   4171267.353      8.806   2.282   0.124   2.407   0.403  12.195  33.033
2017 191 28560   4208830.069   2334850.516   4171267.353      9.019   2.282   0.124   2.407   0.403  12.194  33.030
2017 191 28590   4208830.069   2334850.516   4171267.353      9.436   2.282   0.124   2.406   0.403  12.194  33.028
2017 191 28620   4208830.069   2334850.516   4171267.353      9.376   2.282   0.124   2.406   0.405  12.194  33.027
2017 191 28650   4208830.069   2334850.516   4171267.353      8.893   2.282   0.123   2.406   0.406  12.194  33.027
2017 191 28680   4208830.069   2334850.516   4171267.353      8.657   2.282   0.123   2.406   0.409  12.193  33.026
2017 191 28710   4208830.069   2334850.516   4171267.353      8.724   2.282   0.123   2.406   0.411  12.193  33.033
2017 191 28740   4208830.069   2334850.516   4171267.353      8.871   2.282   0.123   2.405   0.412  12.194  33.033
2017 191 28770   4208830.069   2334850.516   4171267.353      9.048   2.282   0.123   2.405   0.414  12.194  33.033
2017 191 28800   4208830.069   2334850.516   4171267.353      9.108   2.282   0.123   2.405   0.413  12.194  33.034
2017 191 28830   4208830.069   2334850.516   4171267.353      8.865   2.282   0.122   2.405   0.412  12.193  33.034
2017 191 28860   4208830.069   2334850.516   4171267.353      9.218   2.282   0.122   2.405   0.412  12.193  33.035
2017 191 28890   4208830.069   2334850.516   4171267.353      9.264   2.282   0.122   2.404   0.411  12.192  33.036
2017 191 28920   4208830.069   2334850.516   4171267.353      9.640   2.282   0.122   2.404   0.411  12.191  33.036
2017 191 28950   4208830.069   2334850.516   4171267.353      8.988   2.282   0.121   2.404   0.411  12.191  33.037
2017 191 28980   4208830.069   2334850.516   4171267.353      9.446   2.282   0.121   2.404   0.410  12.191  33.036
2017 191 29010   4208830.069   2334850.515   4171267.353      9.042   2.282   0.121   2.403   0.410  12.192  33.036
2017 191 29040   4208830.068   2334850.515   4171267.353      8.930   2.282   0.121   2.403   0.409  12.192  33.035
2017 191 29070   4208830.068   2334850.515   4171267.353      8.657   2.282   0.120   2.403   0.409  12.192  33.034
2017 191 29100   4208830.068   2334850.515   4171267.353      9.169   2.282   0.120   2.402   0.409  12.192  33.033
2017 191 29130   4208830.068   2334850.515   4171267.353      9.257   2.282   0.120   2.402   0.410  12.193  33.033
2017 191 29160   4208830.068   2334850.515   4171267.353      9.404   2.282   0.119   2.402   0.410  12.193  33.033
2017 191 29190   4208830.068   2334850.515   4171267.353      8.621   2.282   0.119   2.401   0.410  12.194  33.033
2017 191 29220   4208830.068   2334850.515   4171267.353      8.768   2.282   0.119   2.401   0.410  12.193  33.032
2017 191 29250   4208830.068   2334850.515   4171267.353      8.967   2.282   0.119   2.401   0.410  12.193  33.032
2017 191 29280   4208830.068   2334850.515   4171267.353      8.864   2.282   0.118   2.401   0.411  12.193  33.024
2017 191 29310   4208830.068   2334850.515   4171267.353      8.854   2.282   0.118   2.400   0.413  12.193  33.016
2017 191 29340   4208830.068   2334850.515   4171267.352      8.953   2.282   0.118   2.400   0.414  12.194  33.007
2017 191 29370   4208830.068   2334850.515   4171267.352      9.314   2.282   0.117   2.400   0.413  12.195  33.001
2017 191 29400   4208830.068   2334850.515   4171267.352      9.006   2.282   0.117   2.400   0.413  12.194  32.996
2017 191 29430   4208830.068   2334850.515   4171267.352      9.043   2.282   0.117   2.399   0.413  12.194  32.991
2017 191 29460   4208830.068   2334850.515   4171267.352      9.567   2.282   0.117   2.399   0.414  12.194  32.986
2017 191 29490   4208830.068   2334850.515   4171267.352      9.410   2.282   0.116   2.399   0.414  12.194  32.983
2017 191 29520   4208830.068   2334850.515   4171267.352      9.410   2.282   0.116   2.399   0.414  12.194  32.981
2017 191 29550   4208830.068   2334850.515   4171267.352      9.605   2.282   0.116   2.399   0.415  12.194  32.979
2017 191 29580   4208830.068   2334850.515   4171267.352      8.982   2.282   0.116   2.398   0.416  12.194  32.976
2017 191 29610   4208830.068   2334850.515   4171267.352      8.971   2.282   0.116   2.398   0.418  12.194  32.975
2017 191 29640   4208830.068   2334850.515   4171267.352      8.757   2.282   0.116   2.398   0.419  12.194  32.980
2017 191 29670   4208830.068   2334850.515   4171267.352      8.607   2.282   0.116   2.398   0.419  12.194  32.978
2017 191 29700   4208830.068   2334850.515   4171267.352      9.027   2.282   0.116   2.398   0.420  12.193  32.976
2017 191 29730   4208830.068   2334850.515   4171267.352      8.744   2.282   0.116   2.398   0.420  12.193  32.975
2017 191 29760   4208830.068   2334850.515   4171267.352      8.712   2.282   0.116   2.398   0.420  12.193  32.973
2017 191 29790   4208830.068   2334850.515   4171267.352      8.704   2.282   0.116   2.398   0.420  12.193  32.971
2017 191 29820   4208830.068   2334850.515   4171267.352      8.853   2.282   0.116   2.398   0.419  12.192  32.970
2017 191 29850   4208830.068   2334850.515   4171267.352      8.470   2.282   0.115   2.398   0.420  12.192  32.967
2017 191 29880   4208830.068   2334850.515   4171267.352      8.482   2.282   0.115   2.398   0.421  12.191  32.965
2017 191 29910   4208830.068   2334850.515   4171267.352      8.914   2.282   0.115   2.398   0.421  12.190  32.961
2017 191 29940   4208830.068   2334850.515   4171267.352      9.450   2.282   0.115   2.398   0.421  12.190  32.958
2017 191 29970   4208830.068   2334850.515   4171267.352      9.588   2.282   0.115   2.398   0.421  12.190  32.956
2017 191 30000   4208830.068   2334850.515   4171267.352      9.464   2.282   0.115   2.397   0.422  12.190  32.954
2017 191 30030   4208830.068   2334850.515   4171267.352      9.421   2.282   0.115   2.397   0.423  12.190  32.952
2017 191 30060   4208830.068   2334850.515   4171267.352      9.177   2.282   0.115   2.397   0.425  12.189  32.951
2017 191 30090   4208830.068   2334850.515   4171267.352      8.615   2.282   0.115   2.397   0.427  12.190  32.949
2017 191 30120   4208830.068   2334850.515   4171267.352      8.340   2.282   0.115   2.397   0.429  12.191  32.947
2017 191 30150   4208830.068   2334850.515   4171267.352      8.530   2.282   0.115   2.397   0.430  12.192  32.945
2017 191 30180   4208830.068   2334850.515   4171267.352      8.557   2.282   0.115   2.397   0.432  12.193  32.943
2017 191 30210   4208830.068   2334850.515   4171267.352      8.996   2.282   0.115   2.397   0.432  12.194  32.941
2017 191 30240   4208830.068   2334850.515   4171267.352      8.874   2.282   0.115   2.397   0.432  12.195  32.939
2017 191 30270   4208830.068   2334850.514   4171267.352      8.947   2.282   0.115   2.397   0.432  12.195  32.937
2017 191 30300   4208830.068   2334850.514   4171267.352      9.386   2.282   0.114   2.397   0.431  12.195  32.935
2017 191 30330   4208830.068   2334850.514   4171267.352      9.135   2.282   0.114   2.397   0.430  12.194  32.934
2017 191 30360   4208830.068   2334850.514   4171267.352      9.407   2.282   0.114   2.397   0.430  12.194  32.932
2017 191 30390   4208830.068   2334850.514   4171267.352      9.387   2.282   0.114   2.396   0.430  12.191  32.930
2017 191 30420   4208830.068   2334850.514   4171267.352      8.989   2.282   0.114   2.396   0.430  12.191  32.929
2017 191 30450   4208830.068   2334850.514   4171267.352      9.302   2.282   0.114   2.396   0.429  12.190  32.929
2017 191 30480   4208830.068   2334850.514   4171267.352      8.934   2.282   0.114   2.396   0.429  12.190  32.928
2017 191 30510   4208830.068   2334850.514   4171267.352      8.959   2.282   0.114   2.396   0.428  12.189  32.927
2017 191 30540   4208830.068   2334850.514   4171267.352      8.801   2.282   0.114   2.396   0.428  12.188  32.927
2017 191 30570   4208830.068   2334850.514   4171267.352      9.093   2.282   0.114   2.396   0.428  12.188  32.926
2017 191 30600   4208830.068   2334850.514   4171267.352      9.405   2.282   0.114   2.396   0.428  12.188  32.924
2017 191 30630   4208830.068   2334850.514   4171267.352      9.472   2.282   0.114   2.396   0.428  12.188  32.923
2017 191 30660   4208830.068   2334850.514   4171267.352      9.358   2.282   0.114   2.396   0.428  12.188  32.921
2017 191 30690   4208830.068   2334850.514   4171267.352      9.752   2.282   0.114   2.396   0.428  12.188  32.918
2017 191 30720   4208830.068   2334850.514   4171267.352      9.589   2.282   0.114   2.396   0.428  12.188  32.915
2017 191 30750   4208830.068   2334850.514   4171267.352      9.301   2.282   0.114   2.396   0.429  12.188  32.914
2017 191 30780   4208830.068   2334850.514   4171267.352      9.520   2.282   0.114   2.396   0.429  12.188  32.913
2017 191 30810   4208830.068   2334850.514   4171267.352      9.735   2.282   0.113   2.396   0.428  12.188  32.912
2017 191 30840   4208830.068   2334850.514   4171267.353     10.119   2.282   0.113   2.395   0.429  12.189  32.911
2017 191 30870   4208830.068   2334850.514   4171267.353      9.829   2.282   0.112   2.395   0.430  12.189  32.909
2017 191 30900   4208830.068   2334850.514   4171267.353      9.857   2.282   0.112   2.394   0.430  12.188  32.908
2017 191 30930   4208830.068   2334850.514   4171267.353      9.628   2.282   0.111   2.394   0.431  12.188  32.906
2017 191 30960   4208830.068   2334850.514   4171267.353      9.487   2.282   0.111   2.393   0.433  12.188  32.904
2017 191 30990   4208830.068   2334850.514   4171267.353      9.526   2.282   0.110   2.392   0.435  12.187  32.904
2017 191 31020   4208830.068   2334850.514   4171267.353      9.613   2.282   0.110   2.392   0.437  12.187  32.903
2017 191 31050   4208830.068   2334850.514   4171267.353      9.625   2.282   0.109   2.391   0.438  12.186  32.902
2017 191 31080   4208830.068   2334850.514   4171267.353      9.650   2.282   0.109   2.391   0.438  12.184  32.900
2017 191 31110   4208830.068   2334850.514   4171267.353      9.747   2.282   0.108   2.391   0.440  12.180  32.900
2017 191 31140   4208830.068   2334850.514   4171267.353      9.939   2.282   0.108   2.390   0.441  12.175  32.899
2017 191 31170   4208830.068   2334850.514   4171267.353     10.227   2.282   0.107   2.390   0.443  12.170  32.897
2017 191 31200   4208830.068   2334850.514   4171267.353      9.739   2.282   0.107   2.390   0.445  12.161  32.896
2017 191 31230   4208830.068   2334850.514   4171267.353     10.052   2.282   0.107   2.389   0.446  12.152  32.894
2017 191 31260   4208830.068   2334850.514   4171267.353      9.907   2.282   0.107   2.389   0.445  12.144  32.893
2017 191 31290   4208830.068   2334850.514   4171267.353     10.166   2.282   0.107   2.389   0.443  12.139  32.892
2017 191 31320   4208830.068   2334850.514   4171267.353     10.224   2.282   0.107   2.389   0.443  12.135  32.891
2017 191 31350   4208830.068   2334850.514   4171267.353     10.149   2.282   0.107   2.389   0.441  12.132  32.889
2017 191 31380   4208830.068   2334850.514   4171267.353      9.986   2.282   0.107   2.389   0.440  12.129  32.887
2017 191 31410   4208830.068   2334850.514   4171267.353     10.197   2.282   0.107   2.389   0.439  12.127  32.884
2017 191 31440   4208830.068   2334850.514   4171267.353     10.097   2.282   0.107   2.389   0.439  12.125  32.883
2017 191 31470   4208830.068   2334850.514   4171267.353      9.713   2.282   0.106   2.389   0.439  12.124  32.881
2017 191 31500   4208830.068   2334850.514   4171267.353      9.844   2.282   0.106   2.389   0.438  12.123  32.880
2017 191 31530   4208830.068   2334850.514   4171267.353      9.831   2.282   0.106   2.389   0.438  12.122  32.878
2017 191 31560   4208830.068   2334850.514   4171267.353      9.945   2.282   0.106   2.389   0.438  12.121  32.877
2017 191 31590   4208830.068   2334850.514   4171267.353      9.993   2.282   0.106   2.389   0.437  12.120  32.876
2017 191 31620   4208830.068   2334850.514   4171267.354     10.267   2.282   0.106   2.388   0.437  12.118  32.874
