Year DOY   SOD           (X)           (Y)           (Z)       (DT)    (TH)    (TW)    (TT)
2017 191  2250   4208830.170   2334850.570   4171267.443      7.436   2.282   0.167   2.449
2017 191  2280   4208830.168   2334850.565   4171267.441      7.390   2.282   0.167   2.449
2017 191  2310   4208830.166   2334850.560   4171267.438      7.768   2.282   0.166   2.449
2017 191  2340   4208830.164   2334850.556   4171267.437      7.464   2.282   0.166   2.448
2017 191  2370   4208830.164   2334850.554   4171267.437      7.160   2.282   0.165   2.447
2017 191  2400   4208830.165   2334850.552   4171267.437      6.182   2.282   0.164   2.447
2017 191  2430   4208830.166   2334850.552   4171267.438      6.718   2.282   0.164   2.446
2017 191  2460   4208830.167   2334850.552   4171267.439      6.678   2.282   0.163   2.446
2017 191  2490   4208830.169   2334850.554   4171267.439      6.481   2.282   0.163   2.445
2017 191  2520   4208830.171   2334850.554   4171267.439      6.599   2.282   0.163   2.445
2017 191  2550   4208830.172   2334850.553   4171267.439      6.233   2.282   0.163   2.445
2017 191  2580   4208830.174   2334850.553   4171267.439      6.264   2.282   0.163   2.445
2017 191  2610   4208830.177   2334850.553   4171267.438      7.465   2.282   0.163   2.445
2017 191  2640   4208830.180   2334850.554   4171267.439      7.383   2.282   0.163   2.445
2017 191  2670   4208830.181   2334850.555   4171267.439      7.157   2.282   0.163   2.445
2017 191  2700   4208830.183   2334850.554   4171267.438      7.301   2.282   0.163   2.446
2017 191  2730   4208830.183   2334850.553   4171267.436      7.155   2.282   0.164   2.446
2017 191  2760   4208830.181   2334850.551   4171267.435      7.095   2.282   0.164   2.447
2017 191  2790   4208830.182   2334850.550   4171267.434      7.072   2.282   0.164   2.447
2017 191  2820   4208830.183   2334850.549   4171267.433      6.730   2.282   0.165   2.447
2017 191  2850   4208830.183   2334850.548   4171267.433      7.163   2.282   0.164   2.447
2017 191  2880   4208830.182   2334850.547   4171267.433      7.447   2.282   0.165   2.447
2017 191  2910   4208830.182   2334850.546   4171267.433      7.394   2.282   0.164   2.447
2017 191  2940   4208830.182   2334850.545   4171267.433      7.424   2.282   0.164   2.447
2017 191  2970   4208830.182   2334850.545   4171267.433      7.182   2.282   0.164   2.447
2017 191  3000   4208830.183   2334850.545   4171267.433      7.369   2.282   0.164   2.447
2017 191  3030   4208830.183   2334850.545   4171267.433      7.584   2.282   0.164   2.446
2017 191  3060   4208830.183   2334850.545   4171267.433      7.381   2.282   0.164   2.446
2017 191  3090   4208830.182   2334850.545   4171267.433      7.579   2.282   0.164   2.446
2017 191  3120   4208830.182   2334850.545   4171267.433      7.451   2.282   0.164   2.446
2017 191  3150   4208830.182   2334850.546   4171267.433      7.668   2.282   0.163   2.446
2017 191  3180   4208830.181   2334850.546   4171267.433      7.463   2.282   0.163   2.446
2017 191  3210   4208830.180   2334850.547   4171267.433      7.091   2.282   0.163   2.446
2017 191  3240   4208830.179   2334850.547   4171267.433      7.049   2.282   0.163   2.445
2017 191  3270   4208830.179   2334850.549   4171267.433      7.180   2.282   0.163   2.445
2017 191  3300   4208830.180   2334850.550   4171267.434      7.154   2.282   0.163   2.445
2017 191  3330   4208830.180   2334850.551   4171267.434      6.981   2.282   0.162   2.445
2017 191  3360   4208830.180   2334850.552   4171267.435      7.039   2.282   0.162   2.445
2017 191  3390   4208830.179   2334850.553   4171267.435      7.070   2.282   0.162   2.445
2017 191  3420   4208830.179   2334850.554   4171267.435      6.977   2.282   0.162   2.445
2017 191  3450   4208830.179   2334850.554   4171267.435      6.831   2.282   0.162   2.445
2017 191  3480   4208830.179   2334850.554   4171267.435      6.637   2.282   0.162   2.445
2017 191  3510   4208830.178   2334850.553   4171267.434      6.560   2.282   0.162   2.445
2017 191  3540   4208830.178   2334850.552   4171267.433      6.645   2.282   0.162   2.445
2017 191  3570   4208830.177   2334850.550   4171267.432      6.658   2.282   0.162   2.444
2017 191  3600   4208830.176   2334850.549   4171267.431      7.148   2.282   0.162   2.445
2017 191  3630   4208830.173   2334850.547   4171267.430      7.037   2.282   0.162   2.445
2017 191  3660   4208830.172   2334850.546   4171267.429      7.766   2.282   0.162   2.445
2017 191  3690   4208830.170   2334850.545   4171267.428      7.002   2.282   0.162   2.445
2017 191  3720   4208830.168   2334850.544   4171267.427      7.093   2.282   0.162   2.445
2017 191  3750   4208830.166   2334850.543   4171267.427      7.007   2.282   0.163   2.445
2017 191  3780   4208830.164   2334850.544   4171267.426      6.870   2.282   0.163   2.445
2017 191  3810   4208830.162   2334850.544   4171267.426      6.781   2.282   0.163   2.445
2017 191  3840   4208830.161   2334850.544   4171267.426      6.498   2.282   0.163   2.445
2017 191  3870   4208830.160   2334850.545   4171267.426      6.531   2.282   0.163   2.445
2017 191  3900   4208830.159   2334850.546   4171267.426      6.797   2.282   0.162   2.445
2017 191  3930   4208830.159   2334850.548   4171267.427      6.815   2.282   0.162   2.445
2017 191  3960   4208830.159   2334850.549   4171267.427      6.886   2.282   0.162   2.445
2017 191  3990   4208830.158   2334850.550   4171267.427      7.013   2.282   0.162   2.444
2017 191  4020   4208830.157   2334850.550   4171267.426      7.270   2.282   0.162   2.444
2017 191  4050   4208830.155   2334850.551   4171267.426      7.083   2.282   0.162   2.444
2017 191  4080   4208830.154   2334850.550   4171267.425      7.406   2.282   0.162   2.444
2017 191  4110   4208830.153   2334850.550   4171267.424      7.355   2.282   0.162   2.444
2017 191  4140   4208830.153   2334850.550   4171267.424      7.606   2.282   0.162   2.444
2017 191  4170   4208830.152   2334850.550   4171267.423      7.434   2.282   0.162   2.444
2017 191  4200   4208830.152   2334850.550   4171267.423      7.685   2.282   0.162   2.444
2017 191  4230   4208830.151   2334850.549   4171267.423      7.460   2.282   0.162   2.444
2017 191  4260   4208830.151   2334850.549   4171267.422      7.179   2.282   0.161   2.444
2017 191  4290   4208830.150   2334850.549   4171267.422      7.169   2.282   0.161   2.444
2017 191  4320   4208830.150   2334850.549   4171267.422      7.085   2.282   0.161   2.444
2017 191  4350   4208830.149   2334850.549   4171267.422      7.291   2.282   0.161   2.443
2017 191  4380   4208830.148   2334850.550   4171267.422      7.465   2.282   0.161   2.443
2017 191  4410   4208830.147   2334850.550   4171267.422      7.576   2.282   0.161   2.443
2017 191  4440   4208830.147   2334850.551   4171267.422      7.687   2.282   0.161   2.443
2017 191  4470   4208830.146   2334850.551   4171267.422      7.634   2.282   0.160   2.443
2017 191  4500   4208830.144   2334850.551   4171267.421      7.621   2.282   0.161   2.443
2017 191  4530   4208830.142   2334850.550   4171267.420      7.659   2.282   0.161   2.443
2017 191  4560   4208830.140   2334850.550   4171267.420      7.346   2.282   0.161   2.444
2017 191  4590   4208830.139   2334850.551   4171267.420      7.522   2.282   0.161   2.444
2017 191  4620   4208830.138   2334850.552   4171267.420      7.544   2.282   0.161   2.444
2017 191  4650   4208830.135   2334850.552   4171267.420      7.679   2.282   0.161   2.444
2017 191  4680   4208830.133   2334850.551   4171267.419      7.872   2.282   0.162   2.444
2017 191  4710   4208830.132   2334850.551   4171267.418      7.648   2.282   0.162   2.445
2017 191  4740   4208830.130   2334850.550   4171267.418      7.657   2.282   0.162   2.445
2017 191  4770   4208830.129   2334850.550   4171267.418      7.666   2.282   0.162   2.445
2017 191  4800   4208830.129   2334850.551   4171267.418      7.686   2.282   0.162   2.445
2017 191  4830   4208830.128   2334850.551   4171267.418      6.890   2.282   0.162   2.445
2017 191  4860   4208830.127   2334850.551   4171267.418      6.523   2.282   0.162   2.445
2017 191  4890   4208830.126   2334850.551   4171267.418      6.752   2.282   0.162   2.445
2017 191  4920   4208830.124   2334850.551   4171267.417      6.960   2.282   0.162   2.445
2017 191  4950   4208830.123   2334850.551   4171267.417      6.834   2.282   0.162   2.445
2017 191  4980   4208830.122   2334850.551   4171267.416      6.687   2.282   0.162   2.444
2017 191  5010   4208830.121   2334850.550   4171267.415      6.710   2.282   0.162   2.444
2017 191  5040   4208830.120   2334850.549   4171267.415      6.607   2.282   0.162   2.444
2017 191  5070   4208830.119   2334850.549   4171267.415      6.596   2.282   0.162   2.444
2017 191  5100   4208830.119   2334850.549   4171267.415      6.404   2.282   0.162   2.444
2017 191  5130   4208830.118   2334850.550   4171267.415      6.482   2.282   0.162   2.444
2017 191  5160   4208830.117   2334850.550   4171267.414      6.776   2.282   0.162   2.444
2017 191  5190   4208830.117   2334850.551   4171267.414      6.830   2.282   0.162   2.444
2017 191  5220   4208830.115   2334850.551   4171267.414      6.613   2.282   0.162   2.444
2017 191  5250   4208830.115   2334850.552   4171267.413      6.572   2.282   0.162   2.444
2017 191  5280   4208830.114   2334850.552   4171267.413      6.733   2.282   0.161   2.444
2017 191  5310   4208830.113   2334850.554   4171267.413      6.455   2.282   0.161   2.444
2017 191  5340   4208830.112   2334850.556   4171267.413      6.556   2.282   0.161   2.444
2017 191  5370   4208830.112   2334850.557   4171267.413      6.702   2.282   0.161   2.444
2017 191  5400   4208830.111   2334850.558   4171267.413      6.706   2.282   0.161   2.443
2017 191  5430   4208830.111   2334850.558   4171267.413      6.444   2.282   0.161   2.443
2017 191  5460   4208830.110   2334850.560   4171267.413      6.686   2.282   0.161   2.443
2017 191  5490   4208830.110   2334850.561   4171267.413      6.654   2.282   0.160   2.443
2017 191  5520   4208830.109   2334850.562   4171267.413      6.835   2.282   0.160   2.443
2017 191  5550   4208830.109   2334850.562   4171267.413      6.794   2.282   0.160   2.442
