Year DOY   SOD           (X)           (Y)           (Z)       (DT)    (TH)    (TW)    (TT)
2017 191 18630   4208830.077   2334850.532   4171267.368      7.192   2.282   0.129   2.411
2017 191 18660   4208830.077   2334850.532   4171267.368      7.234   2.282   0.129   2.411
2017 191 18690   4208830.077   2334850.532   4171267.368      7.483   2.282   0.128   2.411
2017 191 18720   4208830.076   2334850.532   4171267.368      7.422   2.282   0.128   2.411
2017 191 18750   4208830.076   2334850.532   4171267.368      7.538   2.282   0.128   2.410
2017 191 18780   4208830.076   2334850.532   4171267.368      7.030   2.282   0.128   2.410
2017 191 18810   4208830.076   2334850.532   4171267.368      7.154   2.282   0.127   2.410
2017 191 18840   4208830.076   2334850.532   4171267.368      7.271   2.282   0.127   2.410
2017 191 18870   4208830.076   2334850.532   4171267.368      7.103   2.282   0.127   2.409
2017 191 18900   4208830.076   2334850.532   4171267.368      6.731   2.282   0.127   2.409
2017 191 18930   4208830.076   2334850.532   4171267.368      6.901   2.282   0.127   2.409
2017 191 18960   4208830.076   2334850.532   4171267.368      6.743   2.282   0.127   2.409
2017 191 18990   4208830.076   2334850.532   4171267.368      6.881   2.282   0.127   2.409
2017 191 19020   4208830.076   2334850.532   4171267.368      6.947   2.282   0.127   2.409
2017 191 19050   4208830.076   2334850.532   4171267.368      6.874   2.282   0.127   2.409
2017 191 19080   4208830.076   2334850.532   4171267.368      6.967   2.282   0.127   2.409
2017 191 19110   4208830.076   2334850.532   4171267.368      6.808   2.282   0.127   2.409
2017 191 19140   4208830.076   2334850.532   4171267.368      6.953   2.282   0.127   2.409
2017 191 19170   4208830.076   2334850.532   4171267.368      7.267   2.282   0.127   2.409
2017 191 19200   4208830.076   2334850.531   4171267.368      7.689   2.282   0.127   2.409
2017 191 19230   4208830.076   2334850.531   4171267.368      7.450   2.282   0.127   2.410
2017 191 19260   4208830.076   2334850.531   4171267.368      7.490   2.282   0.127   2.410
2017 191 19290   4208830.076   2334850.531   4171267.368      7.481   2.282   0.128   2.410
2017 191 19320   4208830.076   2334850.531   4171267.368      7.789   2.282   0.128   2.410
2017 191 19350   4208830.076   2334850.531   4171267.368      7.582   2.282   0.128   2.410
2017 191 19380   4208830.076   2334850.531   4171267.368      7.251   2.282   0.128   2.411
2017 191 19410   4208830.076   2334850.531   4171267.368      6.889   2.282   0.129   2.411
2017 191 19440   4208830.076   2334850.531   4171267.368      7.801   2.282   0.129   2.411
2017 191 19470   4208830.076   2334850.531   4171267.368      7.940   2.282   0.129   2.411
2017 191 19500   4208830.076   2334850.531   4171267.368      6.754   2.282   0.129   2.412
2017 191 19530   4208830.076   2334850.530   4171267.368      6.707   2.282   0.129   2.412
2017 191 19560   4208830.076   2334850.530   4171267.368      7.227   2.282   0.130   2.412
2017 191 19590   4208830.076   2334850.530   4171267.368      7.219   2.282   0.130   2.412
2017 191 19620   4208830.076   2334850.530   4171267.368      6.629   2.282   0.130   2.413
2017 191 19650   4208830.076   2334850.530   4171267.368      6.902   2.282   0.131   2.413
2017 191 19680   4208830.076   2334850.530   4171267.368      6.796   2.282   0.131   2.414
2017 191 19710   4208830.076   2334850.530   4171267.368      6.985   2.282   0.132   2.414
2017 191 19740   4208830.076   2334850.530   4171267.368      6.901   2.282   0.132   2.414
2017 191 19770   4208830.076   2334850.530   4171267.368      6.809   2.282   0.132   2.415
2017 191 19800   4208830.076   2334850.530   4171267.368      6.825   2.282   0.133   2.415
2017 191 19830   4208830.076   2334850.530   4171267.368      6.853   2.282   0.133   2.415
2017 191 19860   4208830.076   2334850.530   4171267.368      7.301   2.282   0.133   2.416
2017 191 19890   4208830.076   2334850.529   4171267.368      5.926   2.282   0.133   2.416
2017 191 19920   4208830.076   2334850.529   4171267.368      6.327   2.282   0.134   2.416
2017 191 19950   4208830.076   2334850.529   4171267.368      5.853   2.282   0.134   2.416
2017 191 19980   4208830.076   2334850.529   4171267.368      6.044   2.282   0.134   2.417
2017 191 20010   4208830.076   2334850.529   4171267.368      5.656   2.282   0.135   2.417
2017 191 20040   4208830.076   2334850.529   4171267.368      5.864   2.282   0.135   2.417
2017 191 20070   4208830.076   2334850.529   4171267.367      5.592   2.282   0.135   2.418
2017 191 20100   4208830.075   2334850.529   4171267.367      5.363   2.282   0.136   2.418
2017 191 20130   4208830.075   2334850.529   4171267.367      5.683   2.282   0.136   2.418
2017 191 20160   4208830.075   2334850.529   4171267.367      5.605   2.282   0.136   2.418
2017 191 20190   4208830.075   2334850.529   4171267.367      5.535   2.282   0.136   2.419
2017 191 20220   4208830.075   2334850.529   4171267.367      5.578   2.282   0.137   2.419
2017 191 20250   4208830.075   2334850.528   4171267.367      5.697   2.282   0.137   2.419
2017 191 20280   4208830.075   2334850.528   4171267.367      5.432   2.282   0.137   2.420
2017 191 20310   4208830.074   2334850.528   4171267.367      5.785   2.282   0.138   2.420
2017 191 20340   4208830.074   2334850.528   4171267.367      5.515   2.282   0.138   2.420
2017 191 20370   4208830.074   2334850.528   4171267.366      5.401   2.282   0.138   2.420
2017 191 20400   4208830.074   2334850.528   4171267.366      5.405   2.282   0.138   2.420
2017 191 20430   4208830.074   2334850.528   4171267.366      5.120   2.282   0.138   2.420
2017 191 20460   4208830.074   2334850.528   4171267.366      5.095   2.282   0.138   2.420
2017 191 20490   4208830.074   2334850.528   4171267.366      4.844   2.282   0.138   2.420
2017 191 20520   4208830.074   2334850.528   4171267.366      5.140   2.282   0.138   2.420
2017 191 20550   4208830.074   2334850.528   4171267.366      5.219   2.282   0.138   2.420
2017 191 20580   4208830.074   2334850.528   4171267.366      5.090   2.282   0.138   2.420
2017 191 20610   4208830.074   2334850.528   4171267.366      5.933   2.282   0.137   2.420
2017 191 20640   4208830.074   2334850.528   4171267.366      6.594   2.282   0.137   2.420
2017 191 20670   4208830.074   2334850.528   4171267.366      6.604   2.282   0.137   2.420
2017 191 20700   4208830.074   2334850.528   4171267.366      6.620   2.282   0.137   2.420
2017 191 20730   4208830.074   2334850.528   4171267.366      6.425   2.282   0.137   2.420
2017 191 20760   4208830.074   2334850.528   4171267.366      6.006   2.282   0.137   2.420
2017 191 20790   4208830.074   2334850.527   4171267.366      5.984   2.282   0.137   2.420
2017 191 20820   4208830.074   2334850.527   4171267.366      5.847   2.282   0.137   2.419
2017 191 20850   4208830.074   2334850.527   4171267.366      5.798   2.282   0.137   2.419
2017 191 20880   4208830.074   2334850.527   4171267.366      6.324   2.282   0.137   2.419
2017 191 20910   4208830.074   2334850.527   4171267.366      6.734   2.282   0.136   2.419
2017 191 20940   4208830.074   2334850.527   4171267.366      6.550   2.282   0.136   2.419
2017 191 20970   4208830.073   2334850.527   4171267.366      6.235   2.282   0.136   2.418
2017 191 21000   4208830.073   2334850.527   4171267.366      5.924   2.282   0.136   2.418
2017 191 21030   4208830.073   2334850.527   4171267.366      5.851   2.282   0.135   2.418
2017 191 21060   4208830.073   2334850.527   4171267.366      5.752   2.282   0.135   2.418
2017 191 21090   4208830.073   2334850.527   4171267.366      5.800   2.282   0.135   2.417
2017 191 21120   4208830.073   2334850.527   4171267.365      6.053   2.282   0.135   2.417
2017 191 21150   4208830.073   2334850.527   4171267.365      6.347   2.282   0.134   2.417
2017 191 21180   4208830.073   2334850.527   4171267.365      6.469   2.282   0.134   2.417
2017 191 21210   4208830.073   2334850.527   4171267.365      6.565   2.282   0.134   2.416
2017 191 21240   4208830.073   2334850.527   4171267.365      6.471   2.282   0.134   2.416
2017 191 21270   4208830.073   2334850.527   4171267.365      6.769   2.282   0.134   2.416
2017 191 21300   4208830.073   2334850.527   4171267.365      6.699   2.282   0.134   2.416
2017 191 21330   4208830.073   2334850.526   4171267.365      6.782   2.282   0.134   2.416
2017 191 21360   4208830.073   2334850.526   4171267.365      6.745   2.282   0.134   2.416
2017 191 21390   4208830.073   2334850.526   4171267.365      6.541   2.282   0.134   2.416
2017 191 21420   4208830.073   2334850.526   4171267.365      6.544   2.282   0.134   2.416
2017 191 21450   4208830.073   2334850.526   4171267.364      6.697   2.282   0.133   2.416
2017 191 21480   4208830.073   2334850.526   4171267.364      6.706   2.282   0.133   2.415
2017 191 21510   4208830.073   2334850.526   4171267.364      7.121   2.282   0.133   2.415
2017 191 21540   4208830.073   2334850.526   4171267.364      7.124   2.282   0.133   2.415
2017 191 21570   4208830.073   2334850.526   4171267.364      7.223   2.282   0.133   2.415
2017 191 21600   4208830.072   2334850.526   4171267.364      7.187   2.282   0.133   2.415
2017 191 21630   4208830.072   2334850.526   4171267.364      7.247   2.282   0.133   2.415
2017 191 21660   4208830.072   2334850.526   4171267.364      7.285   2.282   0.133   2.415
2017 191 21690   4208830.072   2334850.526   4171267.364      7.587   2.282   0.133   2.415
2017 191 21720   4208830.072   2334850.526   4171267.364      8.265   2.282   0.133   2.415
2017 191 21750   4208830.072   2334850.526   4171267.364      8.187   2.282   0.132   2.415
2017 191 21780   4208830.072   2334850.526   4171267.363      7.794   2.282   0.132   2.414
2017 191 21810   4208830.072   2334850.526   4171267.363      7.645   2.282   0.132   2.414
2017 191 21840   4208830.072   2334850.526   4171267.363      7.485   2.282   0.131   2.414
2017 191 21870   4208830.072   2334850.526   4171267.363      6.958   2.282   0.131   2.413
2017 191 21900   4208830.072   2334850.525   4171267.363      7.227   2.282   0.130   2.413
2017 191 21930   4208830.072   2334850.525   4171267.363      6.989   2.282   0.130   2.413
2017 191 21960   4208830.072   2334850.525   4171267.363      7.709   2.282   0.130   2.413
2017 191 21990   4208830.072   2334850.525   4171267.363      7.822   2.282   0.130   2.413
2017 191 22020   4208830.072   2334850.525   4171267.363      7.435   2.282   0.130   2.413
2017 191 22050   4208830.072   2334850.525   4171267.363      8.429   2.282   0.130   2.412
2017 191 22080   4208830.072   2334850.525   4171267.363      8.080   2.282   0.130   2.412
2017 191 22110   4208830.072   2334850.525   4171267.362      7.881   2.282   0.130   2.412
2017 191 22140   4208830.072   2334850.525   4171267.362      8.413   2.282   0.130   2.412
2017 191 22170   4208830.072   2334850.525   4171267.362      8.016   2.282   0.130   2.412
2017 191 22200   4208830.072   2334850.524   4171267.362      8.134   2.282   0.130   2.412
2017 191 22230   4208830.072   2334850.524   4171267.362      7.852   2.282   0.130   2.412
2017 191 22260   4208830.072   2334850.524   4171267.362      7.801   2.282   0.129   2.412
2017 191 22290   4208830.072   2334850.524   4171267.362      7.897   2.282   0.129   2.412
2017 191 22320   4208830.072   2334850.524   4171267.362      7.668   2.282   0.129   2.412
2017 191 22350   4208830.072   2334850.524   4171267.362      8.144   2.282   0.129   2.411
2017 191 22380   4208830.072   2334850.524   4171267.361      8.200   2.282   0.129   2.411
2017 191 22410   4208830.071   2334850.524   4171267.361      8.027   2.282   0.129   2.411
2017 191 22440   4208830.071   2334850.524   4171267.361      8.401   2.282   0.129   2.411
2017 191 22470   4208830.071   2334850.524   4171267.361      7.704   2.282   0.128   2.411
2017 191 22500   4208830.071   2334850.524   4171267.361      7.709   2.282   0.128   2.411
2017 191 22530   4208830.071   2334850.524   4171267.361      8.200   2.282   0.128   2.411
2017 191 22560   4208830.071   2334850.524   4171267.361      7.575   2.282   0.128   2.411
2017 191 22590   4208830.071   2334850.524   4171267.361      8.182   2.282   0.128   2.410
2017 191 22620   4208830.071   2334850.524   4171267.361      7.805   2.282   0.128   2.410
2017 191 22650   4208830.071   2334850.524   4171267.361      7.934   2.282   0.128   2.410
2017 191 22680   4208830.071   2334850.524   4171267.360      8.232   2.282   0.128   2.410
2017 191 22710   4208830.071   2334850.523   4171267.360      8.332   2.282   0.127   2.410
2017 191 22740   4208830.071   2334850.523   4171267.360      7.266   2.282   0.127   2.410
2017 191 22770   4208830.071   2334850.523   4171267.360      7.310   2.282   0.127   2.409
2017 191 22800   4208830.071   2334850.523   4171267.360      7.279   2.282   0.127   2.409
2017 191 22830   4208830.071   2334850.523   4171267.360      7.253   2.282   0.127   2.409
2017 191 22860   4208830.071   2334850.523   4171267.360      7.608   2.282   0.126   2.409
2017 191 22890   4208830.071   2334850.523   4171267.360      7.923   2.282   0.126   2.409
2017 191 22920   4208830.071   2334850.523   4171267.360      8.044   2.282   0.126   2.408
2017 191 22950   4208830.071   2334850.523   4171267.360      7.968   2.282   0.126   2.408
2017 191 22980   4208830.071   2334850.523   4171267.360      7.965   2.282   0.126   2.408
2017 191 23010   4208830.071   2334850.523   4171267.360      8.252   2.282   0.125   2.408
2017 191 23040   4208830.071   2334850.523   4171267.359      8.074   2.282   0.125   2.408
2017 191 23070   4208830.071   2334850.523   4171267.359      7.665   2.282   0.125   2.407
2017 191 23100   4208830.071   2334850.523   4171267.359      7.763   2.282   0.125   2.407
2017 191 23130   4208830.071   2334850.522   4171267.359      7.494   2.282   0.124   2.407
2017 191 23160   4208830.071   2334850.522   4171267.359      7.969   2.282   0.124   2.406
2017 191 23190   4208830.071   2334850.522   4171267.359      7.826   2.282   0.124   2.406
2017 191 23220   4208830.071   2334850.522   4171267.359      7.870   2.282   0.123   2.406
2017 191 23250   4208830.071   2334850.522   4171267.359      7.914   2.282   0.123   2.405
2017 191 23280   4208830.071   2334850.522   4171267.359      8.000   2.282   0.123   2.405
2017 191 23310   4208830.071   2334850.522   4171267.359      7.930   2.282   0.122   2.405
2017 191 23340   4208830.071   2334850.522   4171267.359      8.137   2.282   0.122   2.404
2017 191 23370   4208830.071   2334850.522   4171267.359      8.079   2.282   0.122   2.404
2017 191 23400   4208830.071   2334850.522   4171267.359      7.816   2.282   0.121   2.404
2017 191 23430   4208830.071   2334850.522   4171267.359      8.158   2.282   0.121   2.403
2017 191 23460   4208830.071   2334850.521   4171267.358      7.909   2.282   0.120   2.403
2017 191 23490   4208830.071   2334850.521   4171267.358      7.256   2.282   0.120   2.402
2017 191 23520   4208830.071   2334850.521   4171267.358      7.795   2.282   0.120   2.402
2017 191 23550   4208830.071   2334850.521   4171267.358      7.736   2.282   0.119   2.402
2017 191 23580   4208830.071   2334850.521   4171267.358      8.029   2.282   0.119   2.401
2017 191 23610   4208830.071   2334850.521   4171267.358      7.985   2.282   0.119   2.401
2017 191 23640   4208830.071   2334850.521   4171267.358      7.825   2.282   0.118   2.401
2017 191 23670   4208830.071   2334850.521   4171267.358      7.524   2.282   0.118   2.400
2017 191 23700   4208830.071   2334850.521   4171267.358      7.469   2.282   0.118   2.400
2017 191 23730   4208830.072   2334850.521   4171267.358      7.255   2.282   0.117   2.400
2017 191 23760   4208830.072   2334850.521   4171267.358      7.592   2.282   0.117   2.399
2017 191 23790   4208830.072   2334850.521   4171267.358      7.397   2.282   0.116   2.399
2017 191 23820   4208830.072   2334850.521   4171267.358      7.707   2.282   0.116   2.399
2017 191 23850   4208830.072   2334850.521   4171267.358      7.549   2.282   0.116   2.398
2017 191 23880   4208830.072   2334850.521   4171267.358      7.940   2.282   0.115   2.398
2017 191 23910   4208830.072   2334850.521   4171267.358      7.870   2.282   0.115   2.398
2017 191 23940   4208830.072   2334850.521   4171267.358      8.126   2.282   0.115   2.397
2017 191 23970   4208830.072   2334850.521   4171267.358      8.040   2.282   0.115   2.397
2017 191 24000   4208830.072   2334850.521   4171267.358      7.886   2.282   0.115   2.397
2017 191 24030   4208830.072   2334850.521   4171267.358      7.950   2.282   0.114   2.397
2017 191 24060   4208830.072   2334850.521   4171267.358      7.876   2.282   0.114   2.397
2017 191 24090   4208830.072   2334850.521   4171267.358      8.015   2.282   0.114   2.396
2017 191 24120   4208830.072   2334850.521   4171267.358      7.977   2.282   0.114   2.396
2017 191 24150   4208830.072   2334850.521   4171267.358      7.839   2.282   0.114   2.396
2017 191 24180   4208830.072   2334850.521   4171267.358      7.662   2.282   0.113   2.396
2017 191 24210   4208830.072   2334850.521   4171267.358      7.735   2.282   0.113   2.396
2017 191 24240   4208830.072   2334850.521   4171267.358      7.402   2.282   0.113   2.395
2017 191 24270   4208830.072   2334850.521   4171267.358      7.676   2.282   0.113   2.395
2017 191 24300   4208830.072   2334850.521   4171267.358      7.734   2.282   0.112   2.395
2017 191 24330   4208830.072   2334850.521   4171267.358      7.456   2.282   0.112   2.394
2017 191 24360   4208830.072   2334850.521   4171267.358      7.487   2.282   0.112   2.394
2017 191 24390   4208830.072   2334850.521   4171267.358      7.312   2.282   0.111   2.394
2017 191 24420   4208830.072   2334850.521   4171267.358      7.664   2.282   0.111   2.393
2017 191 24450   4208830.072   2334850.521   4171267.358      7.846   2.282   0.110   2.393
2017 191 24480   4208830.072   2334850.521   4171267.358      7.960   2.282   0.110   2.392
2017 191 24510   4208830.072   2334850.521   4171267.358      8.118   2.282   0.110   2.392
2017 191 24540   4208830.072   2334850.521   4171267.358      7.979   2.282   0.110   2.392
2017 191 24570   4208830.072   2334850.521   4171267.358      8.005   2.282   0.110   2.392
2017 191 24600   4208830.072   2334850.521   4171267.358      8.159   2.282   0.110   2.393
2017 191 24630   4208830.072   2334850.521   4171267.358      7.718   2.282   0.110   2.393
2017 191 24660   4208830.072   2334850.521   4171267.358      7.691   2.282   0.110   2.393
2017 191 24690   4208830.072   2334850.521   4171267.358      7.617   2.282   0.111   2.393
2017 191 24720   4208830.072   2334850.521   4171267.358      8.328   2.282   0.111   2.393
2017 191 24750   4208830.072   2334850.521   4171267.358      8.540   2.282   0.111   2.393
2017 191 24780   4208830.072   2334850.521   4171267.358      8.247   2.282   0.111   2.393
2017 191 24810   4208830.072   2334850.521   4171267.358      8.435   2.282   0.111   2.393
2017 191 24840   4208830.072   2334850.521   4171267.358      8.618   2.282   0.111   2.393
2017 191 24870   4208830.072   2334850.521   4171267.358      8.457   2.282   0.111   2.394
2017 191 24900   4208830.071   2334850.521   4171267.358      8.593   2.282   0.111   2.394
2017 191 24930   4208830.071   2334850.521   4171267.357      8.186   2.282   0.112   2.394
2017 191 24960   4208830.071   2334850.521   4171267.357      8.290   2.282   0.112   2.394
2017 191 24990   4208830.071   2334850.521   4171267.357      8.415   2.282   0.112   2.394
2017 191 25020   4208830.071   2334850.521   4171267.357      8.403   2.282   0.112   2.394
2017 191 25050   4208830.071   2334850.521   4171267.357      8.663   2.282   0.112   2.395
2017 191 25080   4208830.071   2334850.521   4171267.357      8.857   2.282   0.112   2.395
2017 191 25110   4208830.071   2334850.521   4171267.357      9.094   2.282   0.113   2.395
2017 191 25140   4208830.071   2334850.521   4171267.357      8.531   2.282   0.113   2.395
2017 191 25170   4208830.071   2334850.521   4171267.357      8.324   2.282   0.113   2.396
2017 191 25200   4208830.071   2334850.521   4171267.357      8.162   2.282   0.113   2.396
2017 191 25230   4208830.071   2334850.521   4171267.357      8.235   2.282   0.113   2.396
2017 191 25260   4208830.071   2334850.521   4171267.357      8.469   2.282   0.114   2.396
2017 191 25290   4208830.071   2334850.521   4171267.357      8.532   2.282   0.114   2.396
2017 191 25320   4208830.071   2334850.521   4171267.357      8.779   2.282   0.114   2.396
2017 191 25350   4208830.071   2334850.521   4171267.357      8.529   2.282   0.114   2.396
2017 191 25380   4208830.071   2334850.521   4171267.357      8.691   2.282   0.114   2.396
2017 191 25410   4208830.071   2334850.521   4171267.357      8.488   2.282   0.114   2.397
2017 191 25440   4208830.071   2334850.521   4171267.357      8.806   2.282   0.114   2.397
2017 191 25470   4208830.071   2334850.521   4171267.357      8.646   2.282   0.115   2.397
2017 191 25500   4208830.071   2334850.521   4171267.357      8.639   2.282   0.115   2.397
2017 191 25530   4208830.071   2334850.521   4171267.357      8.432   2.282   0.115   2.397
2017 191 25560   4208830.071   2334850.521   4171267.357      8.751   2.282   0.115   2.397
2017 191 25590   4208830.071   2334850.521   4171267.357      8.672   2.282   0.115   2.398
2017 191 25620   4208830.071   2334850.521   4171267.357      8.832   2.282   0.115   2.398
2017 191 25650   4208830.071   2334850.521   4171267.357      8.610   2.282   0.116   2.398
2017 191 25680   4208830.071   2334850.521   4171267.357      8.443   2.282   0.116   2.398
2017 191 25710   4208830.071   2334850.521   4171267.357      8.716   2.282   0.116   2.398
2017 191 25740   4208830.071   2334850.521   4171267.357      8.677   2.282   0.116   2.398
2017 191 25770   4208830.071   2334850.521   4171267.357      8.846   2.282   0.116   2.398
2017 191 25800   4208830.071   2334850.521   4171267.357      8.663   2.282   0.116   2.398
2017 191 25830   4208830.071   2334850.521   4171267.357      8.639   2.282   0.116   2.398
2017 191 25860   4208830.071   2334850.521   4171267.357      8.600   2.282   0.116   2.398
2017 191 25890   4208830.071   2334850.521   4171267.357      8.699   2.282   0.116   2.398
2017 191 25920   4208830.071   2334850.522   4171267.357      8.704   2.282   0.116   2.398
2017 191 25950   4208830.071   2334850.522   4171267.357      8.869   2.282   0.116   2.398
2017 191 25980   4208830.071   2334850.522   4171267.357      9.110   2.282   0.116   2.398
2017 191 26010   4208830.071   2334850.522   4171267.357      9.161   2.282   0.116   2.398
2017 191 26040   4208830.071   2334850.522   4171267.357      9.169   2.282   0.116   2.399
2017 191 26070   4208830.071   2334850.522   4171267.357      8.945   2.282   0.116   2.399
2017 191 26100   4208830.071   2334850.522   4171267.357      8.799   2.282   0.116   2.399
2017 191 26130   4208830.071   2334850.522   4171267.357      8.685   2.282   0.116   2.399
2017 191 26160   4208830.071   2334850.522   4171267.357      8.598   2.282   0.116   2.399
2017 191 26190   4208830.071   2334850.522   4171267.357      8.199   2.282   0.116   2.399
2017 191 26220   4208830.071   2334850.522   4171267.357      8.466   2.282   0.117   2.399
2017 191 26250   4208830.071   2334850.522   4171267.357      8.596   2.282   0.117   2.399
2017 191 26280   4208830.071   2334850.522   4171267.357      9.246   2.282   0.117   2.400
2017 191 26310   4208830.071   2334850.522   4171267.357      9.077   2.282   0.117   2.400
2017 191 26340   4208830.071   2334850.522   4171267.357      9.078   2.282   0.118   2.400
2017 191 26370   4208830.071   2334850.522   4171267.357      8.388   2.282   0.118   2.400
2017 191 26400   4208830.071   2334850.522   4171267.357      8.770   2.282   0.118   2.400
2017 191 26430   4208830.071   2334850.522   4171267.357      8.557   2.282   0.118   2.401
2017 191 26460   4208830.071   2334850.522   4171267.357      8.742   2.282   0.118   2.401
2017 191 26490   4208830.071   2334850.522   4171267.357      8.984   2.282   0.118   2.401
2017 191 26520   4208830.071   2334850.522   4171267.357      9.425   2.282   0.119   2.401
2017 191 26550   4208830.071   2334850.522   4171267.357      9.050   2.282   0.119   2.401
2017 191 26580   4208830.071   2334850.522   4171267.357      9.061   2.282   0.119   2.401
2017 191 26610   4208830.071   2334850.522   4171267.356      9.084   2.282   0.119   2.402
2017 191 26640   4208830.071   2334850.522   4171267.356      9.040   2.282   0.119   2.402
2017 191 26670   4208830.071   2334850.522   4171267.356      8.763   2.282   0.119   2.402
2017 191 26700   4208830.071   2334850.522   4171267.356      8.938   2.282   0.120   2.402
2017 191 26730   4208830.071   2334850.522   4171267.356      9.123   2.282   0.120   2.402
2017 191 26760   4208830.071   2334850.522   4171267.356      9.271   2.282   0.120   2.402
2017 191 26790   4208830.071   2334850.522   4171267.356      8.977   2.282   0.120   2.402
2017 191 26820   4208830.071   2334850.523   4171267.356      9.458   2.282   0.120   2.402
2017 191 26850   4208830.071   2334850.523   4171267.356      9.379   2.282   0.120   2.402
2017 191 26880   4208830.071   2334850.523   4171267.356      8.979   2.282   0.120   2.402
2017 191 26910   4208830.071   2334850.523   4171267.356      9.217   2.282   0.120   2.403
2017 191 26940   4208830.071   2334850.523   4171267.356      8.975   2.282   0.121   2.403
2017 191 26970   4208830.071   2334850.523   4171267.356      8.930   2.282   0.121   2.403
2017 191 27000   4208830.071   2334850.523   4171267.356      8.914   2.282   0.121   2.404
2017 191 27030   4208830.071   2334850.523   4171267.356      8.610   2.282   0.122   2.404
2017 191 27060   4208830.071   2334850.523   4171267.356      9.017   2.282   0.122   2.404
2017 191 27090   4208830.071   2334850.523   4171267.356      8.820   2.282   0.122   2.404
2017 191 27120   4208830.071   2334850.523   4171267.356      8.906   2.282   0.122   2.405
2017 191 27150   4208830.071   2334850.523   4171267.356      8.811   2.282   0.123   2.405
2017 191 27180   4208830.071   2334850.522   4171267.356      9.016   2.282   0.123   2.405
2017 191 27210   4208830.071   2334850.522   4171267.356      8.593   2.282   0.123   2.406
2017 191 27240   4208830.071   2334850.522   4171267.356      8.783   2.282   0.123   2.406
2017 191 27270   4208830.071   2334850.522   4171267.356      8.557   2.282   0.124   2.406
2017 191 27300   4208830.071   2334850.522   4171267.356      8.272   2.282   0.124   2.406
2017 191 27330   4208830.071   2334850.522   4171267.356      8.307   2.282   0.124   2.406
2017 191 27360   4208830.071   2334850.522   4171267.356      8.066   2.282   0.124   2.406
2017 191 27390   4208830.071   2334850.522   4171267.356      8.117   2.282   0.124   2.406
2017 191 27420   4208830.071   2334850.522   4171267.356      8.147   2.282   0.124   2.406
2017 191 27450   4208830.071   2334850.522   4171267.356      8.088   2.282   0.124   2.406
2017 191 27480   4208830.071   2334850.522   4171267.356      8.267   2.282   0.124   2.406
2017 191 27510   4208830.071   2334850.522   4171267.356      8.377   2.282   0.124   2.406
2017 191 27540   4208830.071   2334850.522   4171267.356      8.574   2.282   0.124   2.407
2017 191 27570   4208830.071   2334850.522   4171267.356      8.733   2.282   0.124   2.407
2017 191 27600   4208830.071   2334850.522   4171267.356      8.999   2.282   0.124   2.407
2017 191 27630   4208830.071   2334850.522   4171267.356      8.761   2.282   0.124   2.407
2017 191 27660   4208830.071   2334850.522   4171267.356      8.872   2.282   0.124   2.407
2017 191 27690   4208830.071   2334850.522   4171267.356      9.166   2.282   0.125   2.407
2017 191 27720   4208830.071   2334850.522   4171267.356      8.429   2.282   0.125   2.407
2017 191 27750   4208830.071   2334850.522   4171267.356      8.643   2.282   0.125   2.407
2017 191 27780   4208830.071   2334850.522   4171267.356      8.384   2.282   0.125   2.407
2017 191 27810   4208830.071   2334850.522   4171267.356      8.405   2.282   0.125   2.408
2017 191 27840   4208830.071   2334850.522   4171267.356      8.666   2.282   0.126   2.408
2017 191 27870   4208830.071   2334850.521   4171267.356      8.523   2.282   0.126   2.408
2017 191 27900   4208830.071   2334850.521   4171267.356      8.479   2.282   0.126   2.408
2017 191 27930   4208830.071   2334850.521   4171267.356      8.411   2.282   0.126   2.408
2017 191 27960   4208830.071   2334850.521   4171267.356      8.744   2.282   0.126   2.408
2017 191 27990   4208830.071   2334850.521   4171267.356      8.499   2.282   0.126   2.408
2017 191 28020   4208830.071   2334850.521   4171267.355      8.491   2.282   0.126   2.408
2017 191 28050   4208830.071   2334850.521   4171267.355      8.454   2.282   0.126   2.408
2017 191 28080   4208830.071   2334850.521   4171267.355      8.895   2.282   0.126   2.409
2017 191 28110   4208830.071   2334850.521   4171267.355      9.250   2.282   0.126   2.409
2017 191 28140   4208830.071   2334850.521   4171267.355      8.542   2.282   0.126   2.409
2017 191 28170   4208830.071   2334850.521   4171267.355      8.880   2.282   0.127   2.409
2017 191 28200   4208830.071   2334850.520   4171267.355      8.974   2.282   0.127   2.409
2017 191 28230   4208830.071   2334850.520   4171267.355      9.197   2.282   0.127   2.409
2017 191 28260   4208830.071   2334850.520   4171267.355      8.805   2.282   0.127   2.409
2017 191 28290   4208830.071   2334850.520   4171267.355      9.256   2.282   0.127   2.410
2017 191 28320   4208830.071   2334850.520   4171267.355      8.733   2.282   0.128   2.410
2017 191 28350   4208830.071   2334850.520   4171267.355      8.734   2.282   0.128   2.410
2017 191 28380   4208830.071   2334850.520   4171267.355      8.467   2.282   0.128   2.410
2017 191 28410   4208830.071   2334850.520   4171267.355      8.617   2.282   0.128   2.411
2017 191 28440   4208830.071   2334850.520   4171267.355      8.738   2.282   0.128   2.411
2017 191 28470   4208830.071   2334850.519   4171267.355      8.390   2.282   0.129   2.411
2017 191 28500   4208830.071   2334850.519   4171267.355      8.714   2.282   0.129   2.411
2017 191 28530   4208830.071   2334850.519   4171267.355      8.805   2.282   0.129   2.411
2017 191 28560   4208830.071   2334850.519   4171267.355      9.017   2.282   0.129   2.411
